Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,Last Synced Timestamp
mana/manamobile,2011-08-07 20:16:39+00:00,3905,18,C++,10,5,12,4,2017-11-24 19:21:53+00:00
Atlantis-PBEM/Atlantis,2011-03-31 11:05:47+00:00,7166,46,C++,26,20,20,2,2017-11-24 19:50:21+00:00
daviddoria/PatchBasedInpainting,2011-05-17 15:13:50+00:00,54779,32,C++,16,0,9,2,2016-12-15 06:25:42+00:00
idmillington/cyclone-physics,2010-03-06 01:23:43+00:00,889,424,C++,158,31,65,7,2017-06-03 07:36:59+00:00
mobility-fw/mf-opp4,2009-02-10 15:02:15+00:00,3037,20,C++,12,2,5,1,2016-10-04 12:25:31+00:00
vicaya/hypertable,2008-05-22 23:29:12+00:00,57719,89,C++,119,1,6,6,2017-06-12 03:38:08+00:00
chewing/scim-chewing,2011-02-27 15:32:20+00:00,262,6,C++,5,3,3,4,2018-06-27 19:44:56+00:00
freeserf/freeserf,2011-06-21 21:28:03+00:00,4356,169,C++,37,36,25,10,2017-10-08 22:37:02+00:00
Metabolix/PutkaRTS,2011-02-06 11:26:52+00:00,797,29,C++,16,9,5,11,2017-11-24 19:58:28+00:00
cwt137/zeromq3-0,2011-07-20 14:28:50+00:00,7410,1,C++,13,0,1,33,2017-11-05 11:07:48+00:00
tlrobinson/v8-typed-array,2011-05-20 11:31:02+00:00,135,31,C++,5,3,2,2,2016-05-27 19:35:30+00:00
ieatlint/MagRead,2010-11-06 22:18:54+00:00,264,75,C++,47,10,12,1,2017-03-05 23:40:55+00:00
mavam/libbf,2011-05-18 05:36:26+00:00,2565,208,C++,44,11,17,1,2017-11-24 18:32:22+00:00
valette/Wavemesh,2010-09-29 12:17:33+00:00,305,22,C++,12,2,5,1,2018-03-10 08:59:20+00:00
rocket/rocket,2010-01-02 22:39:59+00:00,8123,201,C++,28,0,26,10,2017-11-24 18:41:30+00:00
apache/stdcxx,2009-03-27 15:41:56+00:00,15270,31,C++,11,0,9,1,2017-11-24 19:14:31+00:00
realm/realm-core,2011-06-18 21:18:46+00:00,54709,691,C++,60,158,45,45,2017-05-01 13:36:17+00:00
milleniumcore/CactusEMU,2010-12-13 12:34:55+00:00,17102,3,C++,23,0,1,3,2016-10-05 15:35:56+00:00
patacrep/patagui,2010-04-25 12:25:51+00:00,140155,18,C++,9,7,7,9,2017-11-24 19:17:35+00:00
genki/kyotocabinet-ruby,2011-07-31 18:42:34+00:00,169,6,C++,5,1,2,1,2017-04-04 14:49:25+00:00
mroonga/mroonga,2009-03-04 05:09:15+00:00,13209,129,C++,27,20,30,22,2017-10-07 17:37:26+00:00
exslim/node-protobuf,2010-10-07 19:01:01+00:00,141,9,C++,6,0,1,1,2016-11-24 20:14:06+00:00
stack-of-tasks/dynamic-graph-python,2010-11-02 15:16:39+00:00,261,1,C++,12,4,37,11,2017-10-28 19:28:46+00:00
davidsansome/qtsparkle,2010-12-30 01:15:02+00:00,76,12,C++,8,1,4,5,2017-11-25 04:22:49+00:00
Automattic/node-canvas,2010-09-29 17:31:21+00:00,4137,6398,C++,821,170,294,127,2019-10-06 17:31:42+00:00
radekp/qt,2009-12-02 10:01:02+00:00,734684,20,C++,66,0,5,58,2019-05-30 07:42:22+00:00
jens-a-e/ofxMultiTouchPad,2009-10-28 11:06:38+00:00,65,12,C++,10,1,2,3,2017-11-24 22:28:35+00:00
cogenda/Genius-TCAD-Open,2010-02-20 15:00:53+00:00,5738,40,C++,24,18,12,0,2017-11-24 19:54:07+00:00
danielrh/protojs,2009-09-02 08:38:56+00:00,160,24,C++,32,0,5,2,2017-11-24 20:13:09+00:00
vancegroup-mirrors/vrjuggler,2011-06-06 19:15:01+00:00,109786,6,C++,9,0,2,7,2017-11-25 11:14:31+00:00
danielkaefer/usblamp,2010-11-14 00:30:56+00:00,319,48,C++,18,2,8,11,2016-10-05 13:28:55+00:00
Kirito/PhantomCore,2010-05-19 20:09:20+00:00,30866,37,C++,13,10,5,8,2016-06-20 18:07:08+00:00
ckw-mod/ckw-mod,2010-03-19 10:51:58+00:00,346,108,C++,24,9,17,5,2017-04-04 14:34:27+00:00
