Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers_count,commit_count_after_introduction
pantheon-systems/example-drops-7-composer,2017-02-22 18:49:57+00:00,115,6,PHP,9,8,7,3,MIT,2019-11-14 04:54:11+00:00,4,
bpocallaghan/alert,2016-04-01 07:04:18+00:00,10,11,PHP,7,0,3,1,MIT,2017-01-20 06:21:43+00:00,4,
strangerstudios/schoolpress,2013-05-28 14:44:42+00:00,16316,42,PHP,12,2,12,2,GPL-2.0,2016-12-22 01:22:23+00:00,2,
uecode/segment-io-php,2014-08-01 20:47:06+00:00,47,20,PHP,9,2,5,3,MIT,2016-08-09 20:42:04+00:00,3,
rubo77/php-mysql-fix,2019-03-02 07:25:24+00:00,10,27,PHP,17,2,4,2,Unlicense,2019-12-22 10:45:42+00:00,8,
paulzi/yii2-nested-sets,2015-07-23 21:45:08+00:00,62,52,PHP,18,0,9,2,MIT,2018-07-31 13:55:05+00:00,2,
FriendsOfCake/Authorize,2012-02-20 14:39:54+00:00,122,23,PHP,7,1,7,3,MIT,2016-05-27 17:19:38+00:00,4,
shopplugins/woocommerce-variable-product-description,2014-08-13 16:45:11+00:00,220,6,PHP,6,0,6,2,GPL-3.0,2018-08-20 15:44:52+00:00,2,
literarymachine/LibRDF,2011-01-17 10:24:51+00:00,77,9,PHP,5,0,2,2,GPL-2.0,2017-11-24 21:47:41+00:00,2,
apptamin/apptamin-a,2012-11-06 20:55:41+00:00,2830,21,PHP,7,4,6,2,GPL-2.0,2017-11-24 19:30:09+00:00,4,
jeichorn/Bluga.net-Webthumb-API-for-PHP,2009-09-03 17:07:04+00:00,68,19,PHP,8,1,4,3,LGPL-2.1,2016-06-25 23:41:34+00:00,3,
bupy7/yii2-dynamic-fields,2015-03-25 18:00:25+00:00,166,52,PHP,15,2,12,1,BSD-3-Clause,2018-03-26 06:29:17+00:00,2,
mattstauffer/laraconeu-live,2014-08-26 22:35:19+00:00,1328,2,PHP,5,0,2,2,MIT,2016-08-09 21:07:17+00:00,2,
speckcommerce/SpeckInstall,2013-03-06 20:45:13+00:00,252,1,PHP,9,3,5,5,BSD-2-Clause,2016-05-27 19:16:31+00:00,6,
arvind2110/ZF2-Auth-ACL,2014-04-14 06:49:48+00:00,316,16,PHP,22,5,6,2,MIT,2016-05-27 16:42:42+00:00,2,
mathmarques/Smarty-View,2015-11-19 04:12:16+00:00,12,22,PHP,11,1,2,2,MIT,2019-11-14 04:46:14+00:00,3,
onebone/NPC,2016-01-14 14:03:44+00:00,27,14,PHP,18,7,10,3,GPL-3.0,2017-11-24 23:42:24+00:00,4,
magnetikonline/phpgooglespreadsheetapi,2014-07-11 10:04:59+00:00,37,30,PHP,12,0,4,1,MIT,2017-11-24 19:32:37+00:00,2,
