Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
scijs/save-pixels,2013-05-15 03:34:23+00:00,33,65,JavaScript,12,1,7,6,MIT,2016-08-15 13:43:42+00:00,14,65
dominictarr/r-edit,2012-12-08 03:36:46+00:00,565,55,JavaScript,5,1,5,1,MIT,2016-05-27 16:28:54+00:00,2,65
WeiChiaChang/stacks-cli,2017-11-16 08:57:55+00:00,99,1952,JavaScript,84,23,32,7,MIT,2019-03-25 02:25:12+00:00,8,65
stackgl/gl-geometry,2014-06-01 19:18:01+00:00,162,45,JavaScript,10,2,4,9,MIT,2016-07-19 01:27:19+00:00,10,64
QuickBlox/javascript-media-recorder,2016-11-03 08:46:07+00:00,1053,39,JavaScript,11,4,12,5,BSD-3-Clause,2019-01-04 18:58:31+00:00,7,63
hackerkid/peerdium,2018-05-06 14:59:53+00:00,2082,186,JavaScript,15,1,9,1,MIT,2019-04-01 20:55:53+00:00,2,63
Kegsay/flow-jsdoc,2015-08-16 17:07:30+00:00,53,217,JavaScript,15,7,7,6,Apache-2.0,2018-10-20 13:05:01+00:00,8,61
tienpham94/react-awesome-spinners,2019-05-02 14:50:30+00:00,3037,173,JavaScript,7,1,1,2,MIT,2019-07-12 14:05:24+00:00,3,61
BR0kEN-/jTap,2013-08-21 15:20:51+00:00,87,66,JavaScript,19,1,2,1,MIT,2016-05-27 15:12:57+00:00,5,59
subodha/magento-2-gulp,2016-11-23 03:18:17+00:00,43,54,JavaScript,26,6,12,0,GPL-3.0,2016-11-23 03:18:23+00:00,7,59
muaz-khan/Canvas-Designer,2014-08-09 03:39:21+00:00,1832,119,JavaScript,79,39,14,1,MIT,2019-01-01 11:57:58+00:00,4,59
blakeembrey/metalsmith-pagination,2014-11-11 23:39:07+00:00,69,29,JavaScript,9,4,2,5,MIT,2019-11-14 05:35:20+00:00,6,59
rjrodger/gex,2011-03-03 20:52:55+00:00,453,24,JavaScript,9,0,3,3,MIT,2016-05-27 16:41:35+00:00,5,59
xobotyi/viewport.jquery,2014-10-04 23:53:09+00:00,60,147,JavaScript,26,0,10,1,MIT,2016-11-24 13:40:16+00:00,4,58
lfilho/bitbucket-slack-pr-hook,2014-09-26 17:06:41+00:00,67,60,JavaScript,23,0,2,5,MIT,2016-05-27 15:25:13+00:00,6,58
ractivejs/ractive-events-tap,2013-11-16 15:20:55+00:00,732,7,JavaScript,14,10,8,10,MIT,2016-08-06 15:35:09+00:00,11,57
SpoonX/homefront,2016-08-10 08:44:14+00:00,83,12,JavaScript,5,1,1,4,MIT,2018-09-15 10:30:59+00:00,6,57
sergiodxa/next-ga,2018-06-20 17:11:10+00:00,176,121,JavaScript,16,9,1,6,MIT,2019-04-20 05:25:29+00:00,6,56
e-oj/grabity,2017-11-18 14:52:07+00:00,53,190,JavaScript,13,0,2,3,MIT,2019-01-31 19:14:26+00:00,5,55
bitzesty/ember-sqlite-adapter,2015-09-29 11:51:44+00:00,117,8,JavaScript,8,1,13,4,MIT,2018-09-26 15:12:28+00:00,4,55
cmalven/generator-met,2013-11-17 06:39:32+00:00,395,28,JavaScript,6,1,4,2,MIT,2016-05-27 19:36:36+00:00,3,55
richardschneider/express-mung,2015-12-08 21:35:53+00:00,43,33,JavaScript,11,0,5,5,MIT,2018-05-13 11:19:17+00:00,8,55
jokesterfr/node-pcsc,2013-01-29 10:39:23+00:00,341,24,JavaScript,9,4,3,4,MIT,2016-05-27 17:06:50+00:00,7,54
gist-run/gist-run,2016-02-01 18:22:08+00:00,3929,75,JavaScript,20,23,4,1,MIT,2017-11-24 19:07:12+00:00,2,54
yuhua-chen/MAWButton,2014-07-13 13:11:30+00:00,558,28,JavaScript,7,1,7,3,MIT,2017-08-29 16:37:28+00:00,6,54
appcelerator-developer-relations/Sample.Todo,2011-11-28 18:48:54+00:00,3208,36,JavaScript,31,5,23,11,Apache-2.0,2017-11-24 19:20:44+00:00,16,54
DavidCai1993/lock.js,2016-08-05 03:21:10+00:00,965,222,JavaScript,27,6,14,3,MIT,2019-01-04 17:22:03+00:00,5,54
justindeguzman/locstor,2013-08-05 23:49:17+00:00,361,118,JavaScript,17,4,8,5,MIT,2016-11-24 13:22:00+00:00,5,53
npm/fstream-ignore,2012-03-22 05:32:43+00:00,45,37,JavaScript,13,2,44,5,ISC,2019-06-03 19:14:17+00:00,5,53
thedillonb/GitHub-Trending,2014-03-20 04:35:19+00:00,35,22,JavaScript,5,0,4,1,MIT,2016-05-27 13:10:00+00:00,3,53
mazipan/workbox-in-js-framework,2018-04-23 08:13:34+00:00,119,15,JavaScript,8,0,2,1,MIT,2019-03-30 06:22:19+00:00,2,53
omnidan/redux-ignore,2015-10-18 19:14:07+00:00,26,675,JavaScript,20,2,9,7,MIT,2017-12-04 14:14:56+00:00,11,53
mathiasfrohlich/vscode-LaTeXCompile,2016-01-10 12:28:28+00:00,224,23,JavaScript,12,15,4,5,MIT,2016-10-26 09:38:40+00:00,6,52
akdubya/dustjs,2010-10-25 07:45:00+00:00,309,1515,JavaScript,144,55,54,2,MIT,2016-11-24 13:30:51+00:00,4,52
relekang/promised-ssh,2015-03-01 09:54:30+00:00,23,6,JavaScript,6,0,2,5,MIT,2017-01-16 20:41:13+00:00,7,51
kaido24/btgrid,2015-01-09 17:56:40+00:00,1155,22,JavaScript,13,2,5,3,MIT,2017-11-24 19:55:57+00:00,5,51
7nights/get-v2ex,2019-05-13 16:03:00+00:00,167,178,JavaScript,9,5,2,1,BSD-3-Clause,2019-11-03 17:44:08+00:00,3,51
Fede91/brackets-preferences-ui,2014-04-15 13:58:02+00:00,146,11,JavaScript,5,0,5,5,MIT,2016-12-06 09:06:55+00:00,6,50
kadirahq/blaze-layout,2015-01-13 06:19:29+00:00,41,199,JavaScript,42,30,9,7,MIT,2016-11-24 15:52:32+00:00,8,50
