Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers_count,commit_count_after_introduction
Bara/BlockSMPlugins,2016-06-10 08:35:48+00:00,400,25,C++,11,1,11,2,GPL-3.0,2016-06-19 20:54:26+00:00,5,
ninety47/dukascopy,2013-05-18 01:27:20+00:00,7371,10,C++,13,2,3,1,GPL-3.0,2017-11-25 05:10:25+00:00,3,
bhSPARSE/Benchmark_SpMV_using_CSR5,2015-03-16 10:48:15+00:00,104,31,C++,12,1,6,1,MIT,2017-11-24 19:57:51+00:00,5,
Dtananaev/localization,2017-02-24 19:25:45+00:00,3797,8,C++,5,0,2,2,BSD-2-Clause,2017-08-21 02:50:46+00:00,3,
MengRao/SPSC_Queue,2018-06-22 07:12:26+00:00,26,31,C++,9,1,2,1,MIT,2019-06-22 22:38:37+00:00,4,
alicevision/ofxMVG,2016-07-18 10:07:44+00:00,483,26,C++,5,11,7,5,MPL-2.0,2018-08-29 14:52:07+00:00,7,
jgbit/vuda,2018-10-06 19:53:52+00:00,40,147,C++,6,0,20,2,MIT,2018-10-13 19:07:03+00:00,6,
gaschler/bounding-mesh,2013-11-15 12:46:39+00:00,2553,36,C++,11,3,4,3,BSD-2-Clause,2017-11-24 22:52:31+00:00,8,
stegua/MyBlogEntries,2012-09-19 10:52:28+00:00,68136,4,C++,6,0,2,1,MIT,2016-07-22 07:13:33+00:00,3,
yusuketomoto/ofxCGAL,2013-11-20 09:21:22+00:00,22783,26,C++,8,1,3,3,LGPL-3.0,2017-11-24 19:23:35+00:00,4,
ContinuumIO/libhdfs3-downstream,2017-07-28 14:53:56+00:00,444,15,C++,28,5,2,1,Apache-2.0,2017-07-28 20:50:15+00:00,4,
GassaFM/olymp.sty,2013-08-29 13:43:58+00:00,70,37,C++,16,2,6,4,MIT,2017-11-24 19:54:28+00:00,5,
artemavrin/UE4-DialogueSystem,2016-04-15 23:41:33+00:00,118,63,C++,26,0,24,1,MIT,2017-02-02 09:22:03+00:00,11,
tomgco/cpu-profiler,2014-01-09 19:56:15+00:00,426,25,C++,5,3,1,6,BSD-2-Clause,2016-05-27 13:27:30+00:00,6,
adafruit/Adafruit_DRV2605_Library,2014-12-11 22:15:29+00:00,143,21,C++,26,1,25,6,MIT,2019-03-08 01:23:49+00:00,19,
tizian/tonemapper,2015-12-21 10:15:34+00:00,2131,60,C++,11,0,4,1,MIT,2017-07-29 09:39:13+00:00,2,
TangXiaoLv/TelegramGallery,2016-08-19 07:19:28+00:00,20337,1161,C++,200,13,31,1,GPL-2.0,2016-11-24 17:28:27+00:00,3,
daniilidis-group/msckf_mono,2018-02-12 19:57:44+00:00,534,74,C++,32,3,16,2,MIT,2018-04-09 01:23:40+00:00,4,
WebPlatformForEmbedded/WPEWebKitLauncher,2015-10-09 15:05:09+00:00,42,3,C++,15,2,24,8,BSD-2-Clause,2019-05-02 00:37:39+00:00,11,
baidu/bigflow,2017-11-14 07:43:04+00:00,10666,712,C++,109,22,57,0,Apache-2.0,2017-11-27 12:19:38+00:00,13,
NiuTrans/NiuTensor,2018-05-14 01:44:32+00:00,2065,31,C++,9,1,4,4,Apache-2.0,2019-11-08 02:36:02+00:00,8,
ebirenbaum/ParticleSolver,2015-05-02 16:04:50+00:00,2692,26,C++,8,0,10,2,MIT,2017-11-24 23:14:21+00:00,4,
renatoaloi/EtherEncLib,2013-09-04 22:32:54+00:00,482,20,C++,12,5,7,2,GPL-3.0,2017-11-24 19:25:03+00:00,3,
Pranavgulati/RF24BLE,2016-04-28 20:35:27+00:00,43,96,C++,14,0,12,1,MIT,2016-06-06 20:21:07+00:00,4,
trishume/eyeLike,2012-10-20 12:28:07+00:00,250,525,C++,233,12,96,1,MIT,2017-11-24 18:40:06+00:00,4,
ry/v8worker,2015-03-29 04:58:57+00:00,4828,1423,C++,105,9,89,12,MIT,2016-11-24 16:06:18+00:00,13,
neuks/Indicator,2016-02-19 12:27:39+00:00,87,38,C++,32,0,10,2,GPL-3.0,2017-07-11 07:36:42+00:00,2,
OTL/oculus,2013-07-12 12:54:15+00:00,498,21,C++,15,5,8,3,BSD-3-Clause,2017-11-24 20:04:31+00:00,6,
liuq/QuadProgpp,2016-10-13 12:14:53+00:00,27,27,C++,15,0,5,1,MIT,2016-10-13 15:48:21+00:00,9,
profi200/sysUpdater,2015-03-28 21:41:25+00:00,231,76,C++,38,9,22,2,GPL-3.0,2017-11-24 18:57:19+00:00,5,
chris-gong/fortnite-clone-ue4,2018-12-30 01:21:07+00:00,981837,20,C++,11,5,8,1,MIT,2019-04-26 11:26:35+00:00,3,
eonil/ClangWrapper.Swift,2015-01-21 01:53:06+00:00,232,49,C++,8,3,6,1,MIT,2017-11-24 19:45:45+00:00,2,
deregtd/AC2D,2015-01-20 06:12:56+00:00,5983,11,C++,5,0,4,1,GPL-2.0,2017-11-24 23:24:10+00:00,3,
HumbleNet/HumbleNet,2017-06-28 02:39:53+00:00,7312,341,C++,31,11,30,0,BSD-3-Clause,2017-06-28 02:46:06+00:00,7,
alexeylysenko/CryptFileDevice,2014-10-08 07:40:07+00:00,211,40,C++,8,1,8,2,MIT,2017-11-24 20:15:49+00:00,5,
mongogis/mongodb-gdal-driver,2014-04-25 15:00:14+00:00,423,21,C++,8,1,11,2,MIT,2017-03-05 00:21:11+00:00,3,
wqvbjhc/libuv_tcp,2014-05-14 07:23:47+00:00,408,93,C++,44,2,15,1,BSD-3-Clause,2017-10-08 05:36:41+00:00,5,
Yveaux/NRF24_Sniffer,2014-07-13 07:07:52+00:00,1697,53,C++,13,2,13,2,GPL-3.0,2017-01-02 21:21:22+00:00,3,
googlesamples/android-nearby-cpp,2015-03-25 00:57:17+00:00,240,26,C++,23,1,15,3,Apache-2.0,2017-11-24 21:34:18+00:00,7,
Shutok/WingsEMU,2012-03-28 19:40:36+00:00,10460,4,C++,18,3,3,2,GPL-2.0,2016-07-29 19:44:37+00:00,3,
mp3guy/Logger2,2014-03-07 18:09:56+00:00,2269,19,C++,20,5,5,2,BSD-2-Clause,2017-11-24 19:52:19+00:00,4,
sparkfun/SparkFun_ESP8266_AT_Arduino_Library,2015-07-15 20:56:25+00:00,2334,55,C++,40,11,57,2,MIT,2017-11-24 19:33:56+00:00,6,
lucasBertola/HTTP-CLIENT,2014-02-12 18:02:14+00:00,284,14,C++,9,1,1,1,GPL-2.0,2017-04-09 08:02:21+00:00,2,
maxmati/a4tech-bloody-linux-driver,2015-04-18 17:54:20+00:00,19,17,C++,15,14,4,4,GPL-3.0,2016-12-22 22:05:10+00:00,13,
drahosp/ppgso,2015-09-21 08:57:35+00:00,10703,3,C++,25,0,4,8,MIT,2018-02-24 19:37:37+00:00,5,
OpenNURBS/OpenNURBS,2014-09-13 22:34:15+00:00,275,18,C++,12,0,9,2,GPL-2.0,2017-11-24 22:44:11+00:00,2,
talebook/statsd-client-cpp,2014-03-06 08:26:51+00:00,17,10,C++,20,4,4,4,BSD-3-Clause,2017-11-24 22:52:30+00:00,5,
husty/Core-Trinity,2013-10-29 17:39:57+00:00,15460,0,C++,5,0,1,1,GPL-2.0,2017-10-14 21:31:52+00:00,3,
achorein/silenteye,2014-05-20 21:08:11+00:00,5748,21,C++,6,29,4,1,GPL-3.0,2017-11-24 20:02:47+00:00,5,
codelion/pa.llvm,2013-02-08 07:05:58+00:00,58,31,C++,11,0,7,2,GPL-3.0,2017-11-24 19:51:40+00:00,3,
99xt/timercpp,2018-10-24 07:32:00+00:00,11,85,C++,23,1,4,1,MIT,2019-10-27 05:38:46+00:00,3,
Dionach/StripHeaders,2014-03-27 14:12:29+00:00,37,73,C++,15,1,19,1,BSD-3-Clause,2017-11-24 18:56:23+00:00,2,
OBAViJEST/rain,2017-05-21 15:58:34+00:00,39962,9,C++,10,3,6,1,MIT,2017-06-05 00:50:24+00:00,5,
fmuni/openHFDIB,2016-11-14 19:11:19+00:00,177,7,C++,10,1,10,1,LGPL-3.0,2016-11-20 18:21:58+00:00,5,
JiapengLi/GNFC,2013-11-30 19:26:15+00:00,615,13,C++,11,1,5,2,LGPL-3.0,2017-11-24 21:44:37+00:00,3,
38leinaD/JRift,2013-04-06 12:56:50+00:00,522,44,C++,23,2,9,4,MIT,2017-11-24 20:08:48+00:00,6,
jackullrich/ShellcodeStdio,2017-04-20 16:39:39+00:00,20,150,C++,36,0,10,0,GPL-2.0,2017-11-24 18:43:54+00:00,3,
dattanchu/bprinter,2011-04-16 00:26:39+00:00,12,46,C++,17,0,6,1,MIT,2017-11-24 19:54:35+00:00,3,
daltoniam/FontAwesome-iOS,2013-04-24 15:17:17+00:00,214,43,C++,7,0,6,3,Apache-2.0,2016-05-27 18:47:32+00:00,4,
daniel-j-h/DistributedSearch,2015-03-22 10:47:48+00:00,124,56,C++,15,0,12,1,MIT,2017-11-24 19:45:32+00:00,2,
dreed47/WifiMQTTManager,2018-12-07 17:30:48+00:00,152,20,C++,11,3,6,2,GPL-3.0,2019-06-06 01:55:36+00:00,3,
ScruffyFurn/SumoDX,2013-11-21 05:41:35+00:00,1028,42,C++,46,3,12,2,MIT,2017-11-24 19:57:40+00:00,3,
