Name with Owner,Created Timestamp,Size,Stars Count,Language,Forks Count,Open Issues Count,Watchers Count,Contributors Count,License,Last Synced Timestamp,developers,commits
lazaronixon/react-native-turbolinks,2017-12-29 13:50:33+00:00,23836,131,Java,13,4,8,2,MIT,2019-11-26 11:39:26+00:00,5,910
wh007/redkale,2016-01-27 08:23:59+00:00,6302,3,Java,38,0,1,1,Apache-2.0,2019-04-23 15:37:18+00:00,3,907
saucelabs/simple_sauce,2019-07-25 15:32:56+00:00,875,4,Java,5,29,4,7,MIT,2019-12-06 01:11:25+00:00,18,890
spring-projects/spring-vault,2016-09-14 06:48:10+00:00,2443,108,Java,68,11,10,17,Apache-2.0,2016-09-19 01:30:09+00:00,63,871
networknt/light-oauth2,2016-09-09 22:34:31+00:00,1880,144,Java,55,20,28,1,Apache-2.0,2016-10-10 17:50:17+00:00,14,866
forax/pro,2016-11-23 23:34:31+00:00,7586,53,Java,9,6,10,1,GPL-3.0,2016-11-23 23:35:23+00:00,7,848
adobe/aem-core-cif-components,2019-05-01 19:40:37+00:00,2828,28,Java,16,11,15,9,Apache-2.0,2019-10-24 16:05:00+00:00,35,847
wequick/Small,2015-11-27 11:37:20+00:00,6723,4137,Java,1003,233,280,5,Apache-2.0,2017-11-24 18:52:24+00:00,25,825
hoijui/JavaOSC,2012-02-10 12:54:00+00:00,1076,75,Java,27,13,16,3,BSD-3-Clause,2017-11-24 18:57:05+00:00,10,820
Prototik/HoloEverywhere,2012-03-05 12:37:20+00:00,25505,2236,Java,680,49,172,42,MIT,2016-11-24 14:35:33+00:00,57,798
ttddyy/datasource-proxy,2012-04-18 02:59:32+00:00,14051,338,Java,41,2,18,7,MIT,2019-03-24 16:45:50+00:00,16,764
EXTER7/Foundry,2013-08-08 06:21:52+00:00,35253,13,Java,11,17,5,10,LGPL-3.0,2017-05-01 16:10:43+00:00,11,755
networknt/light,2014-12-04 09:27:05+00:00,22872,30,Java,12,0,8,3,Apache-2.0,2017-10-04 20:38:15+00:00,9,749
ow2-chameleon/fuchsia,2013-07-10 08:26:13+00:00,5344,22,Java,19,11,15,5,Apache-2.0,2016-05-27 13:35:30+00:00,7,744
pwittchen/ReactiveNetwork,2015-08-10 16:06:58+00:00,1295,1929,Java,195,7,70,19,Apache-2.0,2018-03-26 07:06:05+00:00,12,734
modelmapper/modelmapper,2010-10-24 21:46:09+00:00,1649,1326,Java,227,143,77,31,Apache-2.0,2019-06-26 10:34:48+00:00,58,731
mozack/abra,2012-11-07 20:43:17+00:00,7417,54,Java,11,14,9,2,MIT,2017-11-24 18:58:42+00:00,4,726
listenzz/AndroidNavigation,2018-01-14 15:48:47+00:00,25807,213,Java,24,2,6,1,MIT,2018-01-24 03:28:34+00:00,3,724
photo/mobile-android,2011-07-11 15:49:24+00:00,21752,119,Java,66,50,19,10,Apache-2.0,2017-11-24 18:33:41+00:00,13,721
thinkaurelius/faunus,2012-03-15 20:49:29+00:00,29478,261,Java,61,59,60,5,Apache-2.0,2016-11-24 14:22:21+00:00,10,707
gnembon/carpetmod112,2018-07-12 01:30:07+00:00,586,34,Java,14,5,16,8,LGPL-3.0,2018-12-30 07:10:37+00:00,28,703
palantir/gradle-git-version,2015-09-17 21:21:50+00:00,314,91,Java,43,20,16,5,Apache-2.0,2017-04-04 04:51:22+00:00,30,689
vert-x3/vertx-mail-client,2015-02-16 12:00:43+00:00,1349,18,Java,17,12,20,6,Apache-2.0,2017-11-24 21:33:07+00:00,20,686
raydac/java-binary-block-parser,2015-03-13 16:14:06+00:00,7140,104,Java,18,1,9,2,Apache-2.0,2018-01-19 08:00:38+00:00,4,657
jdcloud-api/jdcloud-sdk-java,2018-03-22 03:41:41+00:00,4500,17,Java,12,67,5,5,Apache-2.0,2019-05-23 17:50:05+00:00,14,654
aNNiMON/Lightweight-Stream-API,2015-01-01 17:43:41+00:00,1621,1344,Java,99,0,52,19,Apache-2.0,2018-09-27 23:31:24+00:00,29,623
google/android-classyshark,2015-10-12 13:40:48+00:00,24850,5941,Java,759,20,318,6,Apache-2.0,2017-11-24 18:52:05+00:00,21,618
